"sample","day","genotype","neuron","replicate"
"aa04240_yh_fk_d50_iDA_LIPA_rep1",50,"LIPA","iDA",1
"aa04241_yh_fk_d50_iN_GRN_rep1",50,"GRN","iN",1
"aa04242_yh_fk_d50_iN_CLN5_rep3",50,"CLN5","iN",3
"aa04243_yh_fk_d50_iDA_CLN8_rep2",50,"CLN8","iDA",2
"aa04244_yh_fk_d50_iDA_CTSD_rep2",50,"CTSD","iDA",2
"aa04245_yh_fk_d50_pool__7",50,NA,NA,NA
"aa04246_yh_fk_d50_iDA_ATP13A2_rep3",50,"ATP13A2","iDA",3
"aa04247_yh_fk_d50_iDA_CLN6_rep1",50,"CLN6","iDA",1
"aa04248_yh_fk_d50_iDA_PTT1_rep3",50,"PTT1","iDA",3
"aa04249_yh_fk_d50_iN_CLN8_rep3",50,"CLN8","iN",3
"aa04250_yh_fk_d50_iN_DNAJC5_rep1",50,"DNAJC5","iN",1
"aa04251_yh_fk_d50_iN_SMPD1_rep1",50,"SMPD1","iN",1
"aa04252_yh_fk_d50_iDA_Ctrl_rep2",50,"ctrl","iDA",2
"aa04253_yh_fk_d50_iDA_CLN3_rep1",50,"CLN3","iDA",1
"aa04254_yh_fk_d50_iDA_DNAJC5_rep3",50,"DNAJC5","iDA",3
"aa04255_yh_fk_d50_pool__8",50,NA,NA,NA
"aa04256_yh_fk_d50_iN_GAA_rep2",50,"GAA","iN",2
"aa04257_yh_fk_d50_iN_ASAH1_rep2",50,"ASAH1","iN",2
"aa04258_yh_fk_d50_iN_CLN6_rep2",50,"CLN6","iN",2
"aa04259_yh_fk_d50_iN_GBA1_rep2",50,"GBA1","iN",2
"aa04260_yh_fk_d50_iN_MFSD8_rep2",50,"MFSD8","iN",2
"aa04261_yh_fk_d50_iDA_ATP13A2_rep2",50,"ATP13A2","iDA",2
"aa04262_yh_fk_d50_iN_MFSD8_rep1",50,"MFSD8","iN",1
"aa04263_yh_fk_d50_iDA_CLN3_rep2",50,"CLN3","iDA",2
